Date,CP,B9,B6,B5,SampleID,Longitude,Latitude,TDN_based_ADF,B7,GEMI,B8A,B3,B1,EVI,B11,B4
2022-06-22,5.349896845,5082.0,3416.0,3091.0,40,-54.838848,-20.44657867,51.47087982,3383.0,-113220.60053102132,3278.0,2514.0,2222.0,0.0425887919442731,3231.0,2778.0
2022-06-22,4.715676388,4965.0,2837.0,2427.0,41,-54.83916633,-20.44647667,56.64865127,2959.0,-278224.66831580416,2929.0,1873.0,2131.0,0.0747977062036764,2634.0,2094.0
2022-06-22,4.623732241,4965.0,2837.0,2427.0,41,-54.83916633,-20.44647667,54.67441186,2959.0,-278224.66831580416,2929.0,1873.0,2131.0,0.0747977062036764,2634.0,2094.0
2022-06-22,5.088014662,7094.0,4193.0,3613.0,42,-54.838801,-20.44703067,47.81167332,4329.0,-550.2072783116698,4400.0,2388.0,2906.0,-0.0028226677400985,3952.0,3057.0
2022-06-22,4.905219072,7094.0,4193.0,3613.0,42,-54.838801,-20.44703067,47.90197734,4329.0,-550.2072783116698,4400.0,2388.0,2906.0,-0.0028226677400985,3952.0,3057.0
2022-06-22,2.354868882,5051.0,3159.0,2383.0,43,-54.839217,-20.44683167,53.90830402,3482.0,-754206.6590715944,3631.0,1813.0,2271.0,0.1272402483307953,2829.0,1825.0
2022-06-22,2.268784209,5051.0,3159.0,2383.0,43,-54.839217,-20.44683167,50.53189181,3482.0,-754206.6590715944,3631.0,1813.0,2271.0,0.1272402483307953,2829.0,1825.0
2022-06-22,2.532049149,5927.0,3565.0,2800.0,44,-54.839051,-20.446942,44.35558404,3935.0,-446842.556768844,4150.0,1833.0,2552.0,0.0954993947422515,3244.0,2013.0
2022-06-22,2.624597293,5927.0,3565.0,2800.0,44,-54.839051,-20.446942,48.45501216,3935.0,-446842.556768844,4150.0,1833.0,2552.0,0.0954993947422515,3244.0,2013.0
2022-04-20,5.786000154,4235.0,3819.0,2291.0,45,-54.83907833,-20.446484,58.7107711,4102.0,-5970154.396588125,4194.0,1725.0,1305.0,0.34393470306783,2877.0,1565.0
2022-04-20,5.783110044,4235.0,3819.0,2291.0,45,-54.83907833,-20.446484,61.04519871,4102.0,-5970154.396588125,4194.0,1725.0,1305.0,0.34393470306783,2877.0,1565.0
2022-04-20,7.124578025,4493.0,4031.0,2335.0,46,-54.83861033,-20.44663733,60.18924475,4302.0,-7125607.648920345,4401.0,1755.0,1301.0,0.3729925457369886,2901.0,1537.0
2022-04-20,7.223354582,4493.0,4031.0,2335.0,46,-54.83861033,-20.44663733,59.31672753,4302.0,-7125607.648920345,4401.0,1755.0,1301.0,0.3729925457369886,2901.0,1537.0
2022-04-20,6.680432704,4324.0,3944.0,2326.0,47,-54.838897,-20.44633833,52.63143048,4235.0,-6882150.010846582,4322.0,1761.0,1299.0,0.3661858616531951,2923.0,1556.0
2022-04-20,6.51203639,4324.0,3944.0,2326.0,47,-54.838897,-20.44633833,52.44791886,4235.0,-6882150.010846582,4322.0,1761.0,1299.0,0.3661858616531951,2923.0,1556.0
2022-04-20,7.538986903,4386.0,3893.0,2306.0,48,-54.838811,-20.44671033,54.6374969,4176.0,-6468816.853734583,4210.0,1711.0,1311.0,0.357022566520714,2866.0,1550.0
2022-04-20,7.271757344,4386.0,3893.0,2306.0,48,-54.838811,-20.44671033,55.23320331,4176.0,-6468816.853734583,4210.0,1711.0,1311.0,0.357022566520714,2866.0,1550.0
2022-04-20,3.082142645,4220.0,3687.0,2124.0,49,-54.83924367,-20.44692733,44.98223209,4081.0,-6332182.838613641,4374.0,1621.0,1356.0,0.3615091174409118,2713.0,1438.0
2022-04-20,3.16388557,4220.0,3687.0,2124.0,49,-54.83924367,-20.44692733,45.53597896,4081.0,-6332182.838613641,4374.0,1621.0,1356.0,0.3615091174409118,2713.0,1438.0
