Date,CP,Longwave_Rad_AVG,TEMP_MIN,RAD_SOL,RAIN,SampleID,Longitude,TDN_based_ADF,WIND_SPD,Latitude,B9,B11,Radiative_Direct_AVG,B7,NDWI,Radiative_Dif_AVG
2022-06-02,5.936260378,388.3275890277778,20.1,14.5,0.0,29,-54.83874067,56.78438928,18.4,-20.44635133,3890.0,3152.0,10.858879727653326,3699.0,0.0938622969670835,99.04042020517376
2022-06-02,6.014558985,388.3275890277778,20.1,14.5,0.0,29,-54.83874067,54.91068245,18.4,-20.44635133,3890.0,3152.0,10.858879727653326,3699.0,0.0938622969670835,99.04042020517376
2022-06-02,5.766645524,388.3275890277778,20.1,14.5,0.0,30,-54.839228,56.80856683,18.4,-20.44644167,3645.0,3160.0,10.858879727653326,3508.0,0.0675715550309826,99.04042020517376
2022-06-02,5.845264177,388.3275890277778,20.1,14.5,0.0,30,-54.839228,56.97572872,18.4,-20.44644167,3645.0,3160.0,10.858879727653326,3508.0,0.0675715550309826,99.04042020517376
2022-06-02,2.705945433,388.3275890277778,20.1,14.5,0.0,31,-54.83908333,47.06351554,18.4,-20.44707067,3729.0,3217.0,10.858879727653326,3853.0,0.1158444413906829,99.04042020517376
2022-06-02,2.708648675,388.3275890277778,20.1,14.5,0.0,31,-54.83908333,47.145599,18.4,-20.44707067,3729.0,3217.0,10.858879727653326,3853.0,0.1158444413906829,99.04042020517376
2022-06-02,2.183589424,388.3275890277778,20.1,14.5,0.0,32,-54.839329,44.46956036,18.4,-20.44699567,3719.0,3192.0,10.858879727653326,3901.0,0.1370640713706407,99.04042020517376
2022-06-02,2.189040221,388.3275890277778,20.1,14.5,0.0,32,-54.839329,43.74818053,18.4,-20.44699567,3719.0,3192.0,10.858879727653326,3901.0,0.1370640713706407,99.04042020517376
2022-05-18,4.871028183,280.20675736111104,18.3,17.63,0.0,33,-54.838422,55.91948154,11.8,-20.446899,4135.0,2985.0,328.9837507734972,4171.0,0.1725571725571725,35.20435131644441
2022-05-18,4.86132494,280.20675736111104,18.3,17.63,0.0,33,-54.838422,53.31943777,11.8,-20.446899,4135.0,2985.0,328.9837507734972,4171.0,0.1725571725571725,35.20435131644441
2022-05-18,5.718676315,280.20675736111104,18.3,17.63,0.0,34,-54.83885567,50.14325176,11.8,-20.44601967,3786.0,3174.0,328.9837507734972,3544.0,0.0746355685131195,35.20435131644441
2022-05-18,5.718676315,280.20675736111104,18.3,17.63,0.0,34,-54.83885567,54.00406447,11.8,-20.44601967,3786.0,3174.0,328.9837507734972,3544.0,0.0746355685131195,35.20435131644441
2022-05-18,5.054008114,280.20675736111104,18.3,17.63,0.0,35,-54.83854267,54.0007637,11.8,-20.44621533,4322.0,2932.0,328.9837507734972,4302.0,0.2045577862181226,35.20435131644441
