Sample,Sub_Sample,Date_std,TEMP_MAX,TEMP_MIN,RAD_SOL,RAIN,WIND_SPD,EVAPOT,PRES_ATM,HUM_REL,TP_SFC_AVG,Wind_Dir,Dew_Point,Radiative_Dif_AVG,Radiative_Direct_AVG,PPFD,Longwave_Rad_AVG
147,1,2023-02-09,,,,,,,,,,,,,,,
147,2,2023-02-09,,,,,,,,,,,,,,,
148,1,2023-02-09,,,,,,,,,,,,,,,
148,2,2023-02-09,,,,,,,,,,,,,,,
149,1,2023-02-09,,,,,,,,,,,,,,,
149,2,2023-02-09,,,,,,,,,,,,,,,
150,1,2023-02-09,,,,,,,,,,,,,,,
150,2,2023-02-09,,,,,,,,,,,,,,,
151,1,2023-03-01,,,,,,,,,,,,,,,
151,2,2023-03-01,,,,,,,,,,,,,,,
152,1,2023-03-01,,,,,,,,,,,,,,,
152,2,2023-03-01,,,,,,,,,,,,,,,
153,1,2023-03-01,,,,,,,,,,,,,,,
153,2,2023-03-01,,,,,,,,,,,,,,,
154,1,2023-03-01,,,,,,,,,,,,,,,
154,2,2023-03-01,,,,,,,,,,,,,,,
155,1,2023-03-01,,,,,,,,,,,,,,,
155,2,2023-03-01,,,,,,,,,,,,,,,
156,1,2023-03-01,,,,,,,,,,,,,,,
156,2,2023-03-01,,,,,,,,,,,,,,,
