base,target,model_from_name,with_climate,source,orig_date_col,fold_date,model,r2,rmse,mae,heldout_date,date
D5,CP,ridge,1,exp01_D5_CP_ridge_clim.csv,heldout_date,,ridge,-32.3846961674232,4.79303686682904,4.532873480098753,__mean__,
D5,CP,xgb,0,exp01_D5_CP_xgb.csv,fold_date,2022-04-06,xgb,-0.1937510563073052,1.8739342519780957,1.610355561481543,2022-04-06,
D5,CP,xgb,0,exp01_D5_CP_xgb.csv,fold_date,2022-04-20,xgb,-0.0832294500338608,1.7185800942144356,1.4609206796110434,2022-04-20,
D5,CP,xgb,0,exp01_D5_CP_xgb.csv,fold_date,2022-05-18,xgb,-1.141380239998615,1.869367185943716,1.5437156624120687,2022-05-18,
D5,CP,xgb,0,exp01_D5_CP_xgb.csv,fold_date,2022-06-02,xgb,0.0690313877496743,1.2929987428822896,1.1885874021989593,2022-06-02,
D5,CP,xgb,0,exp01_D5_CP_xgb.csv,fold_date,2022-06-22,xgb,-1.8787287322219992,2.038119214833427,1.7925231736431475,2022-06-22,
D5,CP,xgb,0,exp01_D5_CP_xgb.csv,fold_date,2022-07-06,xgb,-0.3919862082446146,1.4806129087002444,1.1374800015437012,2022-07-06,
D5,CP,xgb,0,exp01_D5_CP_xgb.csv,fold_date,2022-08-03,xgb,-0.1732008336627306,1.2309229340912011,0.9903294637627088,2022-08-03,
D5,CP,xgb,0,exp01_D5_CP_xgb.csv,fold_date,2022-08-24,xgb,-0.6645794589644727,1.7668220493195417,1.3744982526760252,2022-08-24,
D5,CP,xgb,0,exp01_D5_CP_xgb.csv,fold_date,2022-11-03,xgb,-0.4181705573088548,2.371574567356471,1.7335840850646242,2022-11-03,
D5,CP,xgb,0,exp01_D5_CP_xgb.csv,fold_date,2022-11-29,xgb,-2.5294241078398363,3.0271206550641807,2.874672500068604,2022-11-29,
D5,CP,xgb,0,exp01_D5_CP_xgb.csv,fold_date,2022-12-14,xgb,-0.5767377069209292,1.785189215380418,1.6313436118260498,2022-12-14,
D5,CP,xgb,0,exp01_D5_CP_xgb.csv,fold_date,2023-01-13,xgb,-7.225541037939301,7.487952656011668,7.065904095948669,2023-01-13,
D5,CP,xgb,0,exp01_D5_CP_xgb.csv,fold_date,2023-03-01,xgb,-0.3917444898196438,2.440782075185979,2.152777568762044,2023-03-01,
D5,CP,xgb,0,exp01_D5_CP_xgb.csv,fold_date,__mean__,xgb,-1.1999571147317298,2.3372289654585896,2.0428224660768604,__mean__,
D5,CP,xgb,1,exp01_D5_CP_xgb_clim.csv,heldout_date,,xgb,-1.2523606227975996,2.5740467360845325,2.2910889080151606,2022-04-06,
D5,CP,xgb,1,exp01_D5_CP_xgb_clim.csv,heldout_date,,xgb,0.3899222084737336,1.2897399597250845,1.0210062811756184,2022-04-20,
D5,CP,xgb,1,exp01_D5_CP_xgb_clim.csv,heldout_date,,xgb,-0.2194592147097704,1.4106892584546935,1.1572993861160887,2022-05-18,
D5,CP,xgb,1,exp01_D5_CP_xgb_clim.csv,heldout_date,,xgb,-0.1379943521979354,1.4295542352462054,1.3022457707864532,2022-06-02,
D5,CP,xgb,1,exp01_D5_CP_xgb_clim.csv,heldout_date,,xgb,-3.176561510419565,2.454927399661633,2.054021704348917,2022-06-22,
D5,CP,xgb,1,exp01_D5_CP_xgb_clim.csv,heldout_date,,xgb,0.0281296355406873,1.2371667371705943,0.969026963804901,2022-07-06,
D5,CP,xgb,1,exp01_D5_CP_xgb_clim.csv,heldout_date,,xgb,0.0607315713352913,1.1013859811145414,0.9102378416220364,2022-08-03,
D5,CP,xgb,1,exp01_D5_CP_xgb_clim.csv,heldout_date,,xgb,-0.1638217145534692,1.4773512804105389,1.090753319358866,2022-08-24,
D5,CP,xgb,1,exp01_D5_CP_xgb_clim.csv,heldout_date,,xgb,-0.3427858829532724,2.307681855461205,1.6981207519347414,2022-11-03,
D5,CP,xgb,1,exp01_D5_CP_xgb_clim.csv,heldout_date,,xgb,-2.308582294676448,2.930884999724221,2.8715728201217043,2022-11-29,
D5,CP,xgb,1,exp01_D5_CP_xgb_clim.csv,heldout_date,,xgb,-1.9153606430634,2.4274521116285173,1.8302783558405764,2022-12-14,
D5,CP,xgb,1,exp01_D5_CP_xgb_clim.csv,heldout_date,,xgb,-5.181801724198305,6.49140026313255,6.016436413110229,2023-01-13,
D5,CP,xgb,1,exp01_D5_CP_xgb_clim.csv,heldout_date,,xgb,0.1717754940692184,1.882882800041996,1.67009136703068,2023-03-01,
D5,CP,xgb,1,exp01_D5_CP_xgb_clim.csv,heldout_date,,xgb,-1.0806283884731411,2.2319356629120244,1.9140138371743052,__mean__,
D5,TDN,gb,0,exp01_D5_TDN_gb.csv,fold_date,2022-04-06,gb,0.2523183383151156,4.419414771216358,3.695728232191681,2022-04-06,
D5,TDN,gb,0,exp01_D5_TDN_gb.csv,fold_date,2022-04-20,gb,0.577537351130523,3.4139166921394435,3.12901267790096,2022-04-20,
D5,TDN,gb,0,exp01_D5_TDN_gb.csv,fold_date,2022-05-18,gb,-1.2978951524861806,4.5582091962909645,3.414971731782357,2022-05-18,
D5,TDN,gb,0,exp01_D5_TDN_gb.csv,fold_date,2022-06-02,gb,0.1676421162188383,4.219662698033591,3.647954478719751,2022-06-02,
D5,TDN,gb,0,exp01_D5_TDN_gb.csv,fold_date,2022-06-22,gb,-2.400331799397552,6.119547978733144,3.9853177942249496,2022-06-22,
D5,TDN,gb,0,exp01_D5_TDN_gb.csv,fold_date,2022-07-06,gb,-2.0876527784197174,7.2055043635918405,6.3563498242495005,2022-07-06,
D5,TDN,gb,0,exp01_D5_TDN_gb.csv,fold_date,2022-08-03,gb,-0.5231192744488771,4.492805876114241,4.042721439120099,2022-08-03,
D5,TDN,gb,0,exp01_D5_TDN_gb.csv,fold_date,2022-08-24,gb,-0.748109464967438,5.375070566388389,4.051083357792723,2022-08-24,
D5,TDN,gb,0,exp01_D5_TDN_gb.csv,fold_date,2022-11-03,gb,-2.185708987720422,7.594452689234647,5.394768480233208,2022-11-03,
D5,TDN,gb,0,exp01_D5_TDN_gb.csv,fold_date,2022-11-29,gb,-0.8122501862513989,8.280647762809068,7.520127456403459,2022-11-29,
D5,TDN,gb,0,exp01_D5_TDN_gb.csv,fold_date,2022-12-14,gb,0.1599809072906161,3.837232743711049,3.020911594475601,2022-12-14,
D5,TDN,gb,0,exp01_D5_TDN_gb.csv,fold_date,2023-01-13,gb,-0.440975141193521,3.951756772408145,3.6268049883717177,2023-01-13,
D5,TDN,gb,0,exp01_D5_TDN_gb.csv,fold_date,2023-03-01,gb,0.3263069127073338,4.778035328934004,3.3265141937005698,2023-03-01,
D5,TDN,gb,0,exp01_D5_TDN_gb.csv,fold_date,__mean__,gb,-0.6932505507094368,5.2497121107388365,4.247097403782044,__mean__,
D5,TDN,gb,1,exp01_D5_TDN_gb_clim.csv,heldout_date,,gb,-0.2225353217301346,5.651153529880484,4.467331204782643,2022-04-06,
D5,TDN,gb,1,exp01_D5_TDN_gb_clim.csv,heldout_date,,gb,0.3960204018590604,4.081970808317184,3.1925245625835106,2022-04-20,
D5,TDN,gb,1,exp01_D5_TDN_gb_clim.csv,heldout_date,,gb,-0.4278285133184007,3.593082373083005,2.6265440285603514,2022-05-18,
D5,TDN,gb,1,exp01_D5_TDN_gb_clim.csv,heldout_date,,gb,3.938620228716161e-05,4.625025539138238,4.178877334688792,2022-06-02,
D5,TDN,gb,1,exp01_D5_TDN_gb_clim.csv,heldout_date,,gb,-3.194177430580869,6.796449512787194,4.761797397285051,2022-06-22,
D5,TDN,gb,1,exp01_D5_TDN_gb_clim.csv,heldout_date,,gb,-2.1941830302860845,7.328752521550577,6.136151058170153,2022-07-06,
D5,TDN,gb,1,exp01_D5_TDN_gb_clim.csv,heldout_date,,gb,-1.8351802998674571,6.129725668403098,5.408681018965158,2022-08-03,
D5,TDN,gb,1,exp01_D5_TDN_gb_clim.csv,heldout_date,,gb,-0.0958190138460888,4.255683034123413,4.01278036297505,2022-08-24,
D5,TDN,gb,1,exp01_D5_TDN_gb_clim.csv,heldout_date,,gb,-1.1352718459914848,6.217560465763067,4.400632614797385,2022-11-03,
D5,TDN,gb,1,exp01_D5_TDN_gb_clim.csv,heldout_date,,gb,-1.4229006371480128,9.574652854210123,8.763724784794768,2022-11-29,
D5,TDN,gb,1,exp01_D5_TDN_gb_clim.csv,heldout_date,,gb,0.0631518991827759,4.052361246604272,3.299276250714016,2022-12-14,
D5,TDN,gb,1,exp01_D5_TDN_gb_clim.csv,heldout_date,,gb,0.1238384948183421,3.081442342707628,2.733448251943365,2023-01-13,
D5,TDN,gb,1,exp01_D5_TDN_gb_clim.csv,heldout_date,,gb,-1.316346708763592,8.85972197140362,8.177586691996808,2023-03-01,
D5,TDN,gb,1,exp01_D5_TDN_gb_clim.csv,heldout_date,,gb,-0.8662455861130508,5.711352451382454,4.781488889404389,__mean__,
D5,TDN,linear,0,exp01_D5_TDN_linear.csv,fold_date,2022-04-06,linear,0.1663957565568738,4.666447206503309,3.70710233638939,2022-04-06,
D5,TDN,linear,0,exp01_D5_TDN_linear.csv,fold_date,2022-04-20,linear,0.351707972285744,4.229062472396626,3.713956593559122,2022-04-20,
D5,TDN,linear,0,exp01_D5_TDN_linear.csv,fold_date,2022-05-18,linear,0.1253532008038335,2.812195468420465,2.1947203055469746,2022-05-18,
D5,TDN,linear,0,exp01_D5_TDN_linear.csv,fold_date,2022-06-02,linear,0.3507057204694025,3.726863411898088,3.125479650745368,2022-06-02,
D5,TDN,linear,0,exp01_D5_TDN_linear.csv,fold_date,2022-06-22,linear,-30.50983048114727,18.628664835658665,13.24198071708519,2022-06-22,
D5,TDN,linear,0,exp01_D5_TDN_linear.csv,fold_date,2022-07-06,linear,0.064118735391405,3.966984779623617,3.2145888466058,2022-07-06,
D5,TDN,linear,0,exp01_D5_TDN_linear.csv,fold_date,2022-08-03,linear,-0.1716843900197484,3.9405425296005534,3.347280366668705,2022-08-03,
D5,TDN,linear,0,exp01_D5_TDN_linear.csv,fold_date,2022-08-24,linear,-6.4470855782172976,11.094124374960566,9.460454396001772,2022-08-24,
D5,TDN,linear,0,exp01_D5_TDN_linear.csv,fold_date,2022-11-03,linear,-1.120724554547627,6.19634460870568,4.597526203358807,2022-11-03,
D5,TDN,linear,0,exp01_D5_TDN_linear.csv,fold_date,2022-11-29,linear,-6.251600027977869,16.564264461390554,12.250405515462331,2022-11-29,
D5,TDN,linear,0,exp01_D5_TDN_linear.csv,fold_date,2022-12-14,linear,0.0614237703138891,4.056097058181741,3.570005287629959,2022-12-14,
D5,TDN,linear,0,exp01_D5_TDN_linear.csv,fold_date,2023-01-13,linear,-18.36722794921964,14.48757489067143,11.074964940907655,2023-01-13,
D5,TDN,linear,0,exp01_D5_TDN_linear.csv,fold_date,2023-03-01,linear,-0.6034013876225219,7.371221109122965,5.447910149357512,2023-03-01,
D5,TDN,linear,0,exp01_D5_TDN_linear.csv,fold_date,__mean__,linear,-4.796296093302372,7.82618363131802,6.072798100716815,__mean__,
D5,TDN,linear,1,exp01_D5_TDN_linear_clim.csv,fold_date,2022-04-06,linear,0.1663957565568738,4.666447206503309,3.70710233638939,2022-04-06,
D5,TDN,linear,1,exp01_D5_TDN_linear_clim.csv,fold_date,2022-04-20,linear,0.351707972285744,4.229062472396626,3.713956593559122,2022-04-20,
D5,TDN,linear,1,exp01_D5_TDN_linear_clim.csv,fold_date,2022-05-18,linear,0.1253532008038335,2.812195468420465,2.1947203055469746,2022-05-18,
D5,TDN,linear,1,exp01_D5_TDN_linear_clim.csv,fold_date,2022-06-02,linear,0.3507057204694025,3.726863411898088,3.125479650745368,2022-06-02,
D5,TDN,linear,1,exp01_D5_TDN_linear_clim.csv,fold_date,2022-06-22,linear,-30.50983048114727,18.628664835658665,13.24198071708519,2022-06-22,
D5,TDN,linear,1,exp01_D5_TDN_linear_clim.csv,fold_date,2022-07-06,linear,0.064118735391405,3.966984779623617,3.2145888466058,2022-07-06,
D5,TDN,linear,1,exp01_D5_TDN_linear_clim.csv,fold_date,2022-08-03,linear,-0.1716843900197484,3.9405425296005534,3.347280366668705,2022-08-03,
D5,TDN,linear,1,exp01_D5_TDN_linear_clim.csv,fold_date,2022-08-24,linear,-6.4470855782172976,11.094124374960566,9.460454396001772,2022-08-24,
D5,TDN,linear,1,exp01_D5_TDN_linear_clim.csv,fold_date,2022-11-03,linear,-1.120724554547627,6.19634460870568,4.597526203358807,2022-11-03,
D5,TDN,linear,1,exp01_D5_TDN_linear_clim.csv,fold_date,2022-11-29,linear,-6.251600027977869,16.564264461390554,12.250405515462331,2022-11-29,
D5,TDN,linear,1,exp01_D5_TDN_linear_clim.csv,fold_date,2022-12-14,linear,0.0614237703138891,4.056097058181741,3.570005287629959,2022-12-14,
