SampleID,mode,has_item,scene_id,scene_datetime,abs_days,used
117,raw,1,HLS.S30.T21KYT.2022343T134659.v2.0,2022-12-09T13:58:04.891760,1,1
118,raw,1,HLS.S30.T21KYT.2022343T134659.v2.0,2022-12-09T13:58:04.891760,1,1
118,raw,1,HLS.S30.T21KYT.2022343T134659.v2.0,2022-12-09T13:58:04.891760,1,1
119,raw,1,HLS.S30.T21KYT.2022343T134659.v2.0,2022-12-09T13:58:04.891760,1,1
119,raw,1,HLS.S30.T21KYT.2022343T134659.v2.0,2022-12-09T13:58:04.891760,1,1
120,raw,1,HLS.S30.T21KYT.2022343T134659.v2.0,2022-12-09T13:58:04.891760,1,1
120,raw,1,HLS.S30.T21KYT.2022343T134659.v2.0,2022-12-09T13:58:04.891760,1,1
121,raw,1,HLS.S30.T21KYT.2022343T134659.v2.0,2022-12-09T13:58:04.891760,1,1
121,raw,1,HLS.S30.T21KYT.2022343T134659.v2.0,2022-12-09T13:58:04.891760,1,1
122,raw,1,HLS.S30.T21KYT.2022343T134659.v2.0,2022-12-09T13:58:04.891760,1,1
122,raw,1,HLS.S30.T21KYT.2022343T134659.v2.0,2022-12-09T13:58:04.891760,1,1
123,raw,1,HLS.S30.T21KYT.2022348T134701.v2.0,2022-12-14T13:58:08.337560,0,0
123,raw,1,HLS.S30.T21KYT.2022348T134701.v2.0,2022-12-14T13:58:08.337560,0,0
124,raw,1,HLS.S30.T21KYT.2022348T134701.v2.0,2022-12-14T13:58:08.337560,0,0
124,raw,1,HLS.S30.T21KYT.2022348T134701.v2.0,2022-12-14T13:58:08.337560,0,0
125,raw,1,HLS.S30.T21KYT.2022348T134701.v2.0,2022-12-14T13:58:08.337560,0,0
125,raw,1,HLS.S30.T21KYT.2022348T134701.v2.0,2022-12-14T13:58:08.337560,0,0
126,raw,1,HLS.S30.T21KYT.2022348T134701.v2.0,2022-12-14T13:58:08.337560,0,0
126,raw,1,HLS.S30.T21KYT.2022348T134701.v2.0,2022-12-14T13:58:08.337560,0,0
127,raw,1,HLS.S30.T21KYT.2022348T134701.v2.0,2022-12-14T13:58:08.337560,0,0
127,raw,1,HLS.S30.T21KYT.2022348T134701.v2.0,2022-12-14T13:58:08.337560,0,0
128,raw,1,HLS.S30.T21KYT.2022348T134701.v2.0,2022-12-14T13:58:08.337560,0,0
128,raw,1,HLS.S30.T21KYT.2022348T134701.v2.0,2022-12-14T13:58:08.337560,0,0
129,raw,1,HLS.S30.T21KYT.2023018T134659.v2.0,2023-01-18T13:58:05.861240,5,1
129,raw,1,HLS.S30.T21KYT.2023018T134659.v2.0,2023-01-18T13:58:05.861240,5,1
130,raw,1,HLS.S30.T21KYT.2023018T134659.v2.0,2023-01-18T13:58:05.861240,5,1
130,raw,1,HLS.S30.T21KYT.2023018T134659.v2.0,2023-01-18T13:58:05.861240,5,1
131,raw,1,HLS.S30.T21KYT.2023018T134659.v2.0,2023-01-18T13:58:05.861240,5,1
131,raw,1,HLS.S30.T21KYT.2023018T134659.v2.0,2023-01-18T13:58:05.861240,5,1
132,raw,1,HLS.S30.T21KYT.2023018T134659.v2.0,2023-01-18T13:58:05.861240,5,1
132,raw,1,HLS.S30.T21KYT.2023018T134659.v2.0,2023-01-18T13:58:05.861240,5,1
133,raw,1,HLS.S30.T21KYT.2023018T134659.v2.0,2023-01-18T13:58:05.861240,5,1
133,raw,1,HLS.S30.T21KYT.2023018T134659.v2.0,2023-01-18T13:58:05.861240,5,1
