Sample,Sub_Sample,Date_std,granule_id,granule_time,cloud_cover
60,2,2022-04-06,G2250533407-LPCLOUD,2022-04-08T13:58:09.453000,60
61,1,2022-08-03,G2383132254-LPCLOUD,2022-08-01T13:58:13.222000,11
61,2,2022-08-03,G2383132254-LPCLOUD,2022-08-01T13:58:13.222000,11
62,1,2022-08-03,G2383132254-LPCLOUD,2022-08-01T13:58:13.222000,11
62,2,2022-08-03,G2383132254-LPCLOUD,2022-08-01T13:58:13.222000,11
63,1,2022-08-03,G2383132254-LPCLOUD,2022-08-01T13:58:13.222000,11
63,2,2022-08-03,G2383132254-LPCLOUD,2022-08-01T13:58:13.222000,11
64,1,2022-08-03,G2383132254-LPCLOUD,2022-08-01T13:58:13.222000,11
64,2,2022-08-03,G2383132254-LPCLOUD,2022-08-01T13:58:13.222000,11
65,1,2022-08-03,G2383132254-LPCLOUD,2022-08-01T13:58:13.222000,11
65,2,2022-08-03,G2383132254-LPCLOUD,2022-08-01T13:58:13.222000,11
66,1,2022-08-03,G2383132254-LPCLOUD,2022-08-01T13:58:13.222000,11
66,2,2022-08-03,G2383132254-LPCLOUD,2022-08-01T13:58:13.222000,11
67,1,2022-08-03,G2383132254-LPCLOUD,2022-08-01T13:58:13.222000,11
67,2,2022-08-03,G2383132254-LPCLOUD,2022-08-01T13:58:13.222000,11
68,1,2022-08-03,G2383132254-LPCLOUD,2022-08-01T13:58:13.222000,11
68,2,2022-08-03,G2383132254-LPCLOUD,2022-08-01T13:58:13.222000,11
69,1,2022-08-03,G2383132254-LPCLOUD,2022-08-01T13:58:13.222000,11
69,2,2022-08-03,G2383132254-LPCLOUD,2022-08-01T13:58:13.222000,11
70,1,2022-08-24,G2429741060-LPCLOUD,2022-08-26T13:58:21.055000,0
70,2,2022-08-24,G2429741060-LPCLOUD,2022-08-26T13:58:21.055000,0
71,1,2022-08-24,G2429741060-LPCLOUD,2022-08-26T13:58:21.055000,0
71,2,2022-08-24,G2429741060-LPCLOUD,2022-08-26T13:58:21.055000,0
72,1,2022-08-24,G2429741060-LPCLOUD,2022-08-26T13:58:21.055000,0
72,2,2022-08-24,G2429741060-LPCLOUD,2022-08-26T13:58:21.055000,0
73,1,2022-08-24,G2429741060-LPCLOUD,2022-08-26T13:58:21.055000,0
73,2,2022-08-24,G2429741060-LPCLOUD,2022-08-26T13:58:21.055000,0
74,1,2022-08-24,G2429741060-LPCLOUD,2022-08-26T13:58:21.055000,0
74,2,2022-08-24,G2429741060-LPCLOUD,2022-08-26T13:58:21.055000,0
75,1,2022-08-24,G2429741060-LPCLOUD,2022-08-26T13:58:21.055000,0
75,2,2022-08-24,G2429741060-LPCLOUD,2022-08-26T13:58:21.055000,0
76,1,2022-09-08,G2453336528-LPCLOUD,2022-09-10T13:58:10.527000,3
76,2,2022-09-08,G2453336528-LPCLOUD,2022-09-10T13:58:10.527000,3
77,1,2022-09-08,G2453336528-LPCLOUD,2022-09-10T13:58:10.527000,3
77,2,2022-09-08,G2453336528-LPCLOUD,2022-09-10T13:58:10.527000,3
78,1,2022-09-08,G2453336528-LPCLOUD,2022-09-10T13:58:10.527000,3
78,2,2022-09-08,G2453336528-LPCLOUD,2022-09-10T13:58:10.527000,3
79,1,2022-09-08,G2453336528-LPCLOUD,2022-09-10T13:58:10.527000,3
79,2,2022-09-08,G2453336528-LPCLOUD,2022-09-10T13:58:10.527000,3
80,1,2022-09-08,G2453336528-LPCLOUD,2022-09-10T13:58:10.527000,3
80,2,2022-09-08,G2453336528-LPCLOUD,2022-09-10T13:58:10.527000,3
81,1,2022-09-08,G2453336528-LPCLOUD,2022-09-10T13:58:10.527000,3
81,2,2022-09-08,G2453336528-LPCLOUD,2022-09-10T13:58:10.527000,3
82,1,2022-09-08,G2453336528-LPCLOUD,2022-09-10T13:58:10.527000,3
82,2,2022-09-08,G2453336528-LPCLOUD,2022-09-10T13:58:10.527000,3
83,1,2022-10-13,G2515825165-LPCLOUD,2022-10-15T13:58:12.460000,99
83,2,2022-10-13,G2515825165-LPCLOUD,2022-10-15T13:58:12.460000,99
84,1,2022-10-13,G2515825165-LPCLOUD,2022-10-15T13:58:12.460000,99
84,2,2022-10-13,G2515825165-LPCLOUD,2022-10-15T13:58:12.460000,99
85,1,2022-10-13,G2515825165-LPCLOUD,2022-10-15T13:58:12.460000,99
85,2,2022-10-13,G2515825165-LPCLOUD,2022-10-15T13:58:12.460000,99
86,1,2022-10-13,G2515825165-LPCLOUD,2022-10-15T13:58:12.460000,99
86,2,2022-10-13,G2515825165-LPCLOUD,2022-10-15T13:58:12.460000,99
87,1,2022-10-13,G2515825165-LPCLOUD,2022-10-15T13:58:12.460000,99
87,2,2022-10-13,G2515825165-LPCLOUD,2022-10-15T13:58:12.460000,99
88,1,2022-10-13,G2515825165-LPCLOUD,2022-10-15T13:58:12.460000,99
88,2,2022-10-13,G2515825165-LPCLOUD,2022-10-15T13:58:12.460000,99
89,1,2022-10-13,G2515825165-LPCLOUD,2022-10-15T13:58:12.460000,99
89,2,2022-10-13,G2515825165-LPCLOUD,2022-10-15T13:58:12.460000,99
90,1,2022-10-13,G2515825165-LPCLOUD,2022-10-15T13:58:12.460000,99
90,2,2022-10-13,G2515825165-LPCLOUD,2022-10-15T13:58:12.460000,99
91,1,2022-10-13,G2515825165-LPCLOUD,2022-10-15T13:58:12.460000,99
91,2,2022-10-13,G2515825165-LPCLOUD,2022-10-15T13:58:12.460000,99
92,1,2022-11-03,G2536074420-LPCLOUD,2022-11-04T13:58:12.616000,0
92,2,2022-11-03,G2536074420-LPCLOUD,2022-11-04T13:58:12.616000,0
93,1,2022-11-03,G2536074420-LPCLOUD,2022-11-04T13:58:12.616000,0
93,2,2022-11-03,G2536074420-LPCLOUD,2022-11-04T13:58:12.616000,0
94,1,2022-11-03,G2536074420-LPCLOUD,2022-11-04T13:58:12.616000,0
94,2,2022-11-03,G2536074420-LPCLOUD,2022-11-04T13:58:12.616000,0
95,1,2022-11-03,G2536074420-LPCLOUD,2022-11-04T13:58:12.616000,0
95,2,2022-11-03,G2536074420-LPCLOUD,2022-11-04T13:58:12.616000,0
96,1,2022-11-03,G2536074420-LPCLOUD,2022-11-04T13:58:12.616000,0
96,2,2022-11-03,G2536074420-LPCLOUD,2022-11-04T13:58:12.616000,0
97,1,2022-11-03,G2536074420-LPCLOUD,2022-11-04T13:58:12.616000,0
97,2,2022-11-03,G2536074420-LPCLOUD,2022-11-04T13:58:12.616000,0
98,1,2022-11-03,G2536074420-LPCLOUD,2022-11-04T13:58:12.616000,0
98,2,2022-11-03,G2536074420-LPCLOUD,2022-11-04T13:58:12.616000,0
99,1,2022-11-03,G2536074420-LPCLOUD,2022-11-04T13:58:12.616000,0
99,2,2022-11-03,G2536074420-LPCLOUD,2022-11-04T13:58:12.616000,0
100,1,2022-11-03,G2536074420-LPCLOUD,2022-11-04T13:58:12.616000,0
100,2,2022-11-03,G2536074420-LPCLOUD,2022-11-04T13:58:12.616000,0
