SampleID,mode,has_item,in_window,n_scenes_window,scene_datetimes,cloud_frac_median
78,d7,1,1,1,2022-09-10T13:58:10.527300,0.0
79,d7,1,1,1,2022-09-10T13:58:10.527300,0.0
79,d7,1,1,1,2022-09-10T13:58:10.527300,0.0
80,d7,1,1,1,2022-09-10T13:58:10.527300,0.0
80,d7,1,1,1,2022-09-10T13:58:10.527300,0.0
81,d7,1,1,1,2022-09-10T13:58:10.527300,0.0
81,d7,1,1,1,2022-09-10T13:58:10.527300,0.0
82,d7,1,1,1,2022-09-10T13:58:10.527300,0.0
82,d7,1,1,1,2022-09-10T13:58:10.527300,0.0
83,d7,1,1,1,2022-10-20T13:58:07.884020,0.0
83,d7,1,1,1,2022-10-20T13:58:07.884020,0.0
84,d7,1,1,1,2022-10-20T13:58:07.884020,0.0
84,d7,1,1,1,2022-10-20T13:58:07.884020,0.0
85,d7,1,1,1,2022-10-20T13:58:07.884020,0.0
85,d7,1,1,1,2022-10-20T13:58:07.884020,0.0
86,d7,1,1,1,2022-10-20T13:58:07.884020,0.0
86,d7,1,1,1,2022-10-20T13:58:07.884020,0.0
87,d7,1,1,1,2022-10-20T13:58:07.884020,0.0
87,d7,1,1,1,2022-10-20T13:58:07.884020,0.0
88,d7,1,1,1,2022-10-20T13:58:07.884020,0.0
88,d7,1,1,1,2022-10-20T13:58:07.884020,0.0
89,d7,1,1,1,2022-10-20T13:58:07.884020,0.0
89,d7,1,1,1,2022-10-20T13:58:07.884020,0.0
90,d7,1,1,1,2022-10-20T13:58:07.884020,0.0
90,d7,1,1,1,2022-10-20T13:58:07.884020,0.0
91,d7,1,1,1,2022-10-20T13:58:07.884020,0.0
91,d7,1,1,1,2022-10-20T13:58:07.884020,0.0
92,d7,1,1,3,"2022-10-30T13:58:07.009250,2022-11-04T13:58:12.616260,2022-11-09T13:58:07.516280",0.0
92,d7,1,1,3,"2022-10-30T13:58:07.009250,2022-11-04T13:58:12.616260,2022-11-09T13:58:07.516280",0.0
93,d7,1,1,3,"2022-10-30T13:58:07.009250,2022-11-04T13:58:12.616260,2022-11-09T13:58:07.516280",0.0
93,d7,1,1,3,"2022-10-30T13:58:07.009250,2022-11-04T13:58:12.616260,2022-11-09T13:58:07.516280",0.0
94,d7,1,1,3,"2022-10-30T13:58:07.009250,2022-11-04T13:58:12.616260,2022-11-09T13:58:07.516280",0.0
94,d7,1,1,3,"2022-10-30T13:58:07.009250,2022-11-04T13:58:12.616260,2022-11-09T13:58:07.516280",0.0
95,d7,1,1,3,"2022-10-30T13:58:07.009250,2022-11-04T13:58:12.616260,2022-11-09T13:58:07.516280",0.0
95,d7,1,1,3,"2022-10-30T13:58:07.009250,2022-11-04T13:58:12.616260,2022-11-09T13:58:07.516280",0.0
96,d7,1,1,3,"2022-10-30T13:58:07.009250,2022-11-04T13:58:12.616260,2022-11-09T13:58:07.516280",0.0
96,d7,1,1,3,"2022-10-30T13:58:07.009250,2022-11-04T13:58:12.616260,2022-11-09T13:58:07.516280",0.0
97,d7,1,1,3,"2022-10-30T13:58:07.009250,2022-11-04T13:58:12.616260,2022-11-09T13:58:07.516280",0.0
97,d7,1,1,3,"2022-10-30T13:58:07.009250,2022-11-04T13:58:12.616260,2022-11-09T13:58:07.516280",0.0
98,d7,1,1,3,"2022-10-30T13:58:07.009250,2022-11-04T13:58:12.616260,2022-11-09T13:58:07.516280",0.0
98,d7,1,1,3,"2022-10-30T13:58:07.009250,2022-11-04T13:58:12.616260,2022-11-09T13:58:07.516280",0.0
99,d7,1,1,3,"2022-10-30T13:58:07.009250,2022-11-04T13:58:12.616260,2022-11-09T13:58:07.516280",0.0
99,d7,1,1,3,"2022-10-30T13:58:07.009250,2022-11-04T13:58:12.616260,2022-11-09T13:58:07.516280",0.0
100,d7,1,1,3,"2022-10-30T13:58:07.009250,2022-11-04T13:58:12.616260,2022-11-09T13:58:07.516280",0.0
100,d7,1,1,3,"2022-10-30T13:58:07.009250,2022-11-04T13:58:12.616260,2022-11-09T13:58:07.516280",0.0
101,d7,1,1,3,"2022-10-30T13:58:07.009250,2022-11-04T13:58:12.616260,2022-11-09T13:58:07.516280",0.0
101,d7,1,1,3,"2022-10-30T13:58:07.009250,2022-11-04T13:58:12.616260,2022-11-09T13:58:07.516280",0.0
102,d7,1,1,2,"2022-11-09T13:58:07.516280,2022-11-19T13:58:08.175390",0.0
102,d7,1,1,2,"2022-11-09T13:58:07.516280,2022-11-19T13:58:08.175390",0.0
103,d7,1,1,2,"2022-11-09T13:58:07.516280,2022-11-19T13:58:08.175390",0.0
103,d7,1,1,2,"2022-11-09T13:58:07.516280,2022-11-19T13:58:08.175390",0.0
104,d7,1,1,2,"2022-11-09T13:58:07.516280,2022-11-19T13:58:08.175390",0.0
104,d7,1,1,2,"2022-11-09T13:58:07.516280,2022-11-19T13:58:08.175390",0.0
105,d7,1,1,2,"2022-11-09T13:58:07.516280,2022-11-19T13:58:08.175390",0.0
105,d7,1,1,2,"2022-11-09T13:58:07.516280,2022-11-19T13:58:08.175390",0.0
106,d7,1,1,2,"2022-11-09T13:58:07.516280,2022-11-19T13:58:08.175390",0.0
106,d7,1,1,2,"2022-11-09T13:58:07.516280,2022-11-19T13:58:08.175390",0.0
107,d7,1,1,2,"2022-11-09T13:58:07.516280,2022-11-19T13:58:08.175390",0.0
107,d7,1,1,2,"2022-11-09T13:58:07.516280,2022-11-19T13:58:08.175390",0.0
108,d7,1,1,1,2022-11-29T13:58:07.117950,0.0
