Date,DOY,Sample,Sub-Sample,Lat,Long_,Sample_type,Animals,DM,MM,Biomass,NDF,ADF,CP,TDN_based_ADF,TDN_based_NDF,Satellite_Images_Dates,B1,B2,B3,B4,B5,B6,B7,B8,B8A,B9,B11,B12,NDVI,NDWI,EVI,LAI,DVI,GCI,GEMI,SAVI,TEMP_MAX,TEMP_MIN,RAD_SOL,RAIN,WIND_SPD,EVAPOT,PRES_ATM,HUM_REL,TP_SFC_AVG,Wind_Dir,Dew_Point,Radiative_Dif_AVG,Radiative_Direct_AVG,PPFD,Longwave_Rad_AVG
2022-11-16,320,102,1,-20.44662033,-54.8392,Q1,1,32.2380396,8.554701226,1520.333333,65.60591497,36.04435645,7.012551963,60.82144633,56.42577286,2022-11-09,1473.0,1565.0,1841.0,2067.0,2638.0,3400.0,3576.0,3532.0,3607.0,3732.0,3344.0,2722.0,0.26165386676192176,0.03783628254927349,0.19805005191209551,0.5985450878179616,1465.0,0.9185225420966865,-2144566.544154253,0.39244575408518617,35.1,20.9,30.24,0.0,14.7,7.54,1010.9875,30.29166667,17.181730145833328,169.86965534722222,2.217361111111112,31.683867660999987,459.0945610842818,682.8265254894775,341.9205299305555
2022-11-16,320,102,2,-20.44662033,-54.8392,Q1,1,32.20893677,8.564772514,1520.333333,65.99594539,36.81583057,6.936485826,60.22046799,56.26309118,2022-11-09,1473.0,1565.0,1841.0,2067.0,2638.0,3400.0,3576.0,3532.0,3607.0,3732.0,3344.0,2722.0,0.26165386676192176,0.03783628254927349,0.19805005191209551,0.5985450878179616,1465.0,0.9185225420966865,-2144566.544154253,0.39244575408518617,35.1,20.9,30.24,0.0,14.7,7.54,1010.9875,30.29166667,17.181730145833328,169.86965534722222,2.217361111111112,31.683867660999987,459.0945610842818,682.8265254894775,341.9205299305555
2022-11-16,320,103,1,-20.44659167,-54.83891567,Q2,1,33.06755228,9.10037064,969.6666667,63.33698843,34.26676752,6.692712603,62.20618811,57.37214212,2022-11-09,1470.0,1542.0,1885.0,2017.0,2636.0,3468.0,3660.0,3633.0,3667.0,3752.0,3300.0,2662.0,0.28601769911504427,0.05267690541122434,0.21868808799489006,0.6732135023655123,1616.0,0.9273209549071617,-2609607.1013792614,0.42898858508096627,35.1,20.9,30.24,0.0,14.7,7.54,1010.9875,30.29166667,17.181730145833328,169.86965534722222,2.217361111111112,31.683867660999987,459.0945610842818,682.8265254894775,341.9205299305555
2022-11-16,320,103,2,-20.44659167,-54.83891567,Q2,1,32.65217491,10.4847758,969.6666667,65.8374188,34.48419624,6.689376256,62.03681113,56.32921262,2022-11-09,1470.0,1542.0,1885.0,2017.0,2636.0,3468.0,3660.0,3633.0,3667.0,3752.0,3300.0,2662.0,0.28601769911504427,0.05267690541122434,0.21868808799489006,0.6732135023655123,1616.0,0.9273209549071617,-2609607.1013792614,0.42898858508096627,35.1,20.9,30.24,0.0,14.7,7.54,1010.9875,30.29166667,17.181730145833328,169.86965534722222,2.217361111111112,31.683867660999987,459.0945610842818,682.8265254894775,341.9205299305555
2022-11-16,320,104,1,-20.44644767,-54.838761,Q3,1,29.37825491,7.442251696,1572.333333,64.03379381,35.17287926,7.691690092,61.50032705,57.0815046,2022-11-09,1460.0,1565.0,1939.0,2022.0,2680.0,3565.0,3791.0,3757.0,3780.0,3854.0,3351.0,2667.0,0.30022495241391245,0.06015986537652503,0.2330761211834625,0.7252694064417673,1735.0,0.9375966993295513,-3008227.7575851027,0.4502984687256683,35.1,20.9,30.24,0.0,14.7,7.54,1010.9875,30.29166667,17.181730145833328,169.86965534722222,2.217361111111112,31.683867660999987,459.0945610842818,682.8265254894775,341.9205299305555
2022-11-16,320,104,2,-20.44644767,-54.838761,Q3,1,29.3397793,7.284130666,1572.333333,64.67447352,36.06552994,7.77442166,60.80495218,56.81427709,2022-11-09,1460.0,1565.0,1939.0,2022.0,2680.0,3565.0,3791.0,3757.0,3780.0,3854.0,3351.0,2667.0,0.30022495241391245,0.06015986537652503,0.2330761211834625,0.7252694064417673,1735.0,0.9375966993295513,-3008227.7575851027,0.4502984687256683,35.1,20.9,30.24,0.0,14.7,7.54,1010.9875,30.29166667,17.181730145833328,169.86965534722222,2.217361111111112,31.683867660999987,459.0945610842818,682.8265254894775,341.9205299305555
2022-11-16,320,105,1,-20.44650467,-54.83861,Q4,1,26.58946879,6.889545584,2954.666667,63.92143418,34.85432489,10.3764658,61.74848091,57.1283698,2022-11-09,1462.0,1578.0,1920.0,2015.0,2669.0,3602.0,3786.0,3802.0,3816.0,3866.0,3360.0,2653.0,0.30720302561457796,0.06354515050167224,0.23969846550059018,0.7492290481811352,1787.0,0.9802083333333333,-3191305.716406314,0.46076493339063174,35.1,20.9,30.24,0.0,14.7,7.54,1010.9875,30.29166667,17.181730145833328,169.86965534722222,2.217361111111112,31.683867660999987,459.0945610842818,682.8265254894775,341.9205299305555
2022-11-16,320,105,2,-20.44650467,-54.83861,Q4,1,26.56174039,6.897082555,2954.666667,62.52690426,33.77588889,10.2700468,62.58858256,57.71002823,2022-11-09,1462.0,1578.0,1920.0,2015.0,2669.0,3602.0,3786.0,3802.0,3816.0,3866.0,3360.0,2653.0,0.30720302561457796,0.06354515050167224,0.23969846550059018,0.7492290481811352,1787.0,0.9802083333333333,-3191305.716406314,0.46076493339063174,35.1,20.9,30.24,0.0,14.7,7.54,1010.9875,30.29166667,17.181730145833328,169.86965534722222,2.217361111111112,31.683867660999987,459.0945610842818,682.8265254894775,341.9205299305555
2022-11-16,320,106,1,-20.44703067,-54.839328,S1,0,51.59297362,8.90305046,5352.0,70.77508657,43.24185167,3.764080749,55.21459755,54.26971139,2022-11-09,1504.0,1611.0,1958.0,1969.0,2522.0,3630.0,3974.0,4017.0,4105.0,3923.0,3463.0,2619.0,0.34213164049448713,0.084830866807611,0.2731744795279204,0.870345266932016,2048.0,1.0515832482124616,-4191903.8578543873,0.5131545978451516,35.1,20.9,30.24,0.0,14.7,7.54,1010.9875,30.29166667,17.181730145833328,169.86965534722222,2.217361111111112,31.683867660999987,459.0945610842818,682.8265254894775,341.9205299305555
2022-11-16,320,106,2,-20.44703067,-54.839328,S1,0,51.64806761,8.586360517,5352.0,74.22079026,49.61721338,3.765958096,50.24819078,52.83250838,2022-11-09,1504.0,1611.0,1958.0,1969.0,2522.0,3630.0,3974.0,4017.0,4105.0,3923.0,3463.0,2619.0,0.34213164049448713,0.084830866807611,0.2731744795279204,0.870345266932016,2048.0,1.0515832482124616,-4191903.8578543873,0.5131545978451516,35.1,20.9,30.24,0.0,14.7,7.54,1010.9875,30.29166667,17.181730145833328,169.86965534722222,2.217361111111112,31.683867660999987,459.0945610842818,682.8265254894775,341.9205299305555
